2025-09-20 02:57:01.396 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0266, rms_amp=0.0108, buffer_before=20480, buffer_after=24576, trimmed=False, processing_time=6.8ms
2025-09-20 02:57:01.401 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.010845, 时长=0.26s
2025-09-20 02:57:01.402 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.405 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.406 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001031, 增益=10.00
2025-09-20 02:57:01.406 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0354, rms_amp=0.0103, mean_amp=0.0082, non_zero_ratio=0.989, zero_ratio=0.011
2025-09-20 02:57:01.408 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.035400 > 0.003
2025-09-20 02:57:01.408 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0354, rms_amp=0.0103, buffer_before=24576, buffer_after=28672, trimmed=False, processing_time=5.7ms
2025-09-20 02:57:01.412 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.010307, 时长=0.26s
2025-09-20 02:57:01.468 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
2025-09-20 02:57:01.471 | TRACE    | audio | add_audio_chunk:577 | PCM解码完成: samples=4096
2025-09-20 02:57:01.472 | INFO     | audio | add_audio_chunk:657 | AGC已应用: 原始RMS=0.001144, 增益=10.00
2025-09-20 02:57:01.472 | DEBUG    | audio | add_audio_chunk:668 | 音频质量分析: samples=4096, max_amp=0.0403, rms_amp=0.0114, mean_amp=0.0096, non_zero_ratio=0.993, zero_ratio=0.007
2025-09-20 02:57:01.474 | DEBUG    | audio | add_audio_chunk:739 | 🎵 音频活动[中]: max_amp=0.040283 > 0.003
2025-09-20 02:57:01.474 | DEBUG    | audio | add_audio_chunk:743 | 音频块处理完成: format=pcm, samples=4096, max_amp=0.0403, rms_amp=0.0114, buffer_before=28672, buffer_after=32768, trimmed=False, processing_time=6.8ms
2025-09-20 02:57:01.482 | INFO     | audio | add_audio_chunk:775 | ✅ 标准音频输入: RMS=0.011442, 时长=0.26s
2025-09-20 02:57:01.727 | TRACE    | audio | add_audio_chunk:525 | 收到音频块: format=pcm, raw_size=8192 bytes, sample_rate=16000
