2025-09-20 02:57:12.500 | INFO     | key | session=d021721b save_chunk#51 file=chunk_51_4096.wav samples=4096 rms=0.022017
2025-09-20 02:57:12.769 | INFO     | key | session=d021721b save_chunk#52 file=chunk_52_4096.wav samples=4096 rms=0.016869
2025-09-20 02:57:13.044 | INFO     | key | session=d021721b save_chunk#53 file=chunk_53_4096.wav samples=4096 rms=0.013732
2025-09-20 02:57:13.271 | INFO     | key | session=d021721b save_chunk#54 file=chunk_54_4096.wav samples=4096 rms=0.015714
2025-09-20 02:57:13.521 | INFO     | key | session=d021721b save_chunk#55 file=chunk_55_4096.wav samples=4096 rms=0.016009
2025-09-20 02:57:13.793 | INFO     | key | session=d021721b save_chunk#56 file=chunk_56_4096.wav samples=4096 rms=0.015543
2025-09-20 02:57:14.043 | INFO     | key | session=d021721b save_chunk#57 file=chunk_57_4096.wav samples=4096 rms=0.024983
2025-09-20 02:57:14.293 | INFO     | key | session=d021721b save_chunk#58 file=chunk_58_4096.wav samples=4096 rms=0.016767
2025-09-20 02:57:14.551 | INFO     | key | session=d021721b save_chunk#59 file=chunk_59_4096.wav samples=4096 rms=0.015820
2025-09-20 02:57:14.832 | INFO     | key | session=d021721b save_chunk#60 file=chunk_60_4096.wav samples=4096 rms=0.018901
2025-09-20 02:57:15.072 | INFO     | key | session=d021721b save_chunk#61 file=chunk_61_4096.wav samples=4096 rms=0.021979
2025-09-20 02:57:15.327 | INFO     | key | session=d021721b save_chunk#62 file=chunk_62_4096.wav samples=4096 rms=0.017540
2025-09-20 02:57:15.570 | INFO     | key | session=d021721b save_chunk#63 file=chunk_63_4096.wav samples=4096 rms=0.016678
2025-09-20 02:57:15.831 | INFO     | key | session=d021721b save_chunk#64 file=chunk_64_4096.wav samples=4096 rms=0.016298
2025-09-20 02:57:16.080 | INFO     | key | session=d021721b save_chunk#65 file=chunk_65_4096.wav samples=4096 rms=0.017209
2025-09-20 02:57:16.342 | INFO     | key | session=d021721b save_chunk#66 file=chunk_66_4096.wav samples=4096 rms=0.012743
2025-09-20 02:57:16.601 | INFO     | key | session=d021721b save_chunk#67 file=chunk_67_4096.wav samples=4096 rms=0.018177
2025-09-20 02:57:16.858 | INFO     | key | session=d021721b save_chunk#68 file=chunk_68_4096.wav samples=4096 rms=0.018700
2025-09-20 02:57:17.112 | INFO     | key | session=d021721b save_chunk#69 file=chunk_69_4096.wav samples=4096 rms=0.017655
2025-09-20 02:57:17.362 | INFO     | key | session=d021721b save_chunk#70 file=chunk_70_4096.wav samples=4096 rms=0.015001
2025-09-20 02:57:17.619 | INFO     | key | session=d021721b save_chunk#71 file=chunk_71_4096.wav samples=4096 rms=0.009593
2025-09-20 02:57:17.882 | INFO     | key | session=d021721b save_chunk#72 file=chunk_72_4096.wav samples=4096 rms=0.010363
2025-09-20 02:57:18.130 | INFO     | key | session=d021721b save_chunk#73 file=chunk_73_4096.wav samples=4096 rms=0.012597
2025-09-20 02:57:18.389 | INFO     | key | session=d021721b save_chunk#74 file=chunk_74_4096.wav samples=4096 rms=0.013292
2025-09-20 02:57:18.639 | INFO     | key | session=d021721b save_chunk#75 file=chunk_75_4096.wav samples=4096 rms=0.017561
2025-09-20 02:57:18.901 | INFO     | key | session=d021721b save_chunk#76 file=chunk_76_4096.wav samples=4096 rms=0.018543
2025-09-20 02:57:19.160 | INFO     | key | session=d021721b save_chunk#77 file=chunk_77_4096.wav samples=4096 rms=0.020608
2025-09-20 02:57:19.409 | INFO     | key | session=d021721b save_chunk#78 file=chunk_78_4096.wav samples=4096 rms=0.016417
2025-09-20 02:57:19.671 | INFO     | key | session=d021721b save_chunk#79 file=chunk_79_4096.wav samples=4096 rms=0.008879
2025-09-20 02:57:19.918 | INFO     | key | session=d021721b save_chunk#80 file=chunk_80_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:20.181 | INFO     | key | session=d021721b save_chunk#81 file=chunk_81_4096.wav samples=4096 rms=0.017581
2025-09-20 02:57:20.438 | INFO     | key | session=d021721b save_chunk#82 file=chunk_82_4096.wav samples=4096 rms=0.014393
2025-09-20 02:57:20.699 | INFO     | key | session=d021721b save_chunk#83 file=chunk_83_4096.wav samples=4096 rms=0.014690
2025-09-20 02:57:20.949 | INFO     | key | session=d021721b save_chunk#84 file=chunk_84_4096.wav samples=4096 rms=0.014097
2025-09-20 02:57:21.207 | INFO     | key | session=d021721b save_chunk#85 file=chunk_85_4096.wav samples=4096 rms=0.011385
2025-09-20 02:57:21.458 | INFO     | key | session=d021721b save_chunk#86 file=chunk_86_4096.wav samples=4096 rms=0.015819
2025-09-20 02:57:21.718 | INFO     | key | session=d021721b save_chunk#87 file=chunk_87_4096.wav samples=4096 rms=0.012999
2025-09-20 02:57:21.971 | INFO     | key | session=d021721b save_chunk#88 file=chunk_88_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:22.230 | INFO     | key | session=d021721b save_chunk#89 file=chunk_89_4096.wav samples=4096 rms=0.007340
2025-09-20 02:57:22.478 | INFO     | key | session=d021721b save_chunk#90 file=chunk_90_4096.wav samples=4096 rms=0.005237
2025-09-20 02:57:22.738 | INFO     | key | session=d021721b save_chunk#91 file=chunk_91_4096.wav samples=4096 rms=0.008077
2025-09-20 02:57:22.998 | INFO     | key | session=d021721b save_chunk#92 file=chunk_92_4096.wav samples=4096 rms=0.024705
2025-09-20 02:57:23.249 | INFO     | key | session=d021721b save_chunk#93 file=chunk_93_4096.wav samples=4096 rms=0.021609
2025-09-20 02:57:23.508 | INFO     | key | session=d021721b save_chunk#94 file=chunk_94_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:23.813 | INFO     | key | session=d021721b save_chunk#95 file=chunk_95_4096.wav samples=4096 rms=0.017545
2025-09-20 02:57:24.017 | INFO     | key | session=d021721b save_chunk#96 file=chunk_96_4096.wav samples=4096 rms=0.008735
2025-09-20 02:57:24.278 | INFO     | key | session=d021721b save_chunk#97 file=chunk_97_4096.wav samples=4096 rms=0.010993
2025-09-20 02:57:24.528 | INFO     | key | session=d021721b save_chunk#98 file=chunk_98_4096.wav samples=4096 rms=0.007780
2025-09-20 02:57:24.788 | INFO     | key | session=d021721b save_chunk#99 file=chunk_99_4096.wav samples=4096 rms=0.006298
2025-09-20 02:57:25.040 | INFO     | key | session=d021721b save_chunk#100 file=chunk_100_4096.wav samples=4096 rms=0.014190
2025-09-20 02:57:25.297 | INFO     | key | session=d021721b save_chunk#101 file=chunk_101_4096.wav samples=4096 rms=0.006060
2025-09-20 02:57:25.557 | INFO     | key | session=d021721b save_chunk#102 file=chunk_102_4096.wav samples=4096 rms=0.022547
2025-09-20 02:57:25.809 | INFO     | key | session=d021721b save_chunk#103 file=chunk_103_4096.wav samples=4096 rms=0.020888
2025-09-20 02:57:26.071 | INFO     | key | session=d021721b save_chunk#104 file=chunk_104_4096.wav samples=4096 rms=0.026169
2025-09-20 02:57:26.323 | INFO     | key | session=d021721b save_chunk#105 file=chunk_105_4096.wav samples=4096 rms=0.026179
2025-09-20 02:57:26.579 | INFO     | key | session=d021721b save_chunk#106 file=chunk_106_4096.wav samples=4096 rms=0.016442
2025-09-20 02:57:26.850 | INFO     | key | session=d021721b save_chunk#107 file=chunk_107_4096.wav samples=4096 rms=0.012113
2025-09-20 02:57:27.098 | INFO     | key | session=d021721b save_chunk#108 file=chunk_108_4096.wav samples=4096 rms=0.026656
2025-09-20 02:57:27.351 | INFO     | key | session=d021721b save_chunk#109 file=chunk_109_4096.wav samples=4096 rms=0.027236
2025-09-20 02:57:27.659 | INFO     | key | session=d021721b save_chunk#110 file=chunk_110_4096.wav samples=4096 rms=0.028539
2025-09-20 02:57:27.868 | INFO     | key | session=d021721b save_chunk#111 file=chunk_111_4096.wav samples=4096 rms=0.020145
2025-09-20 02:57:28.119 | INFO     | key | session=d021721b save_chunk#112 file=chunk_112_4096.wav samples=4096 rms=0.022021
2025-09-20 02:57:28.370 | INFO     | key | session=d021721b save_chunk#113 file=chunk_113_4096.wav samples=4096 rms=0.020685
2025-09-20 02:57:28.630 | INFO     | key | session=d021721b save_chunk#114 file=chunk_114_4096.wav samples=4096 rms=0.028194
2025-09-20 02:57:29.274 | INFO     | key | session=d021721b save_chunk#115 file=chunk_115_4096.wav samples=4096 rms=0.020768
2025-09-20 02:57:29.288 | INFO     | key | session=d021721b save_chunk#116 file=chunk_116_4096.wav samples=4096 rms=0.018301
2025-09-20 02:57:29.413 | INFO     | key | session=d021721b save_chunk#117 file=chunk_117_4096.wav samples=4096 rms=0.023473
2025-09-20 02:57:29.741 | INFO     | key | session=d021721b save_chunk#118 file=chunk_118_4096.wav samples=4096 rms=0.030000
2025-09-20 02:57:30.143 | INFO     | key | session=d021721b save_chunk#119 file=chunk_119_4096.wav samples=4096 rms=0.026020
2025-09-20 02:57:30.537 | INFO     | key | session=d021721b save_chunk#120 file=chunk_120_4096.wav samples=4096 rms=0.015583
2025-09-20 02:57:30.935 | INFO     | key | session=d021721b save_chunk#121 file=chunk_121_4096.wav samples=4096 rms=0.015718
2025-09-20 02:57:31.346 | INFO     | key | session=d021721b save_chunk#122 file=chunk_122_4096.wav samples=4096 rms=0.016189
2025-09-20 02:57:31.753 | INFO     | key | session=d021721b save_chunk#123 file=chunk_123_4096.wav samples=4096 rms=0.018217
2025-09-20 02:57:32.145 | INFO     | key | session=d021721b save_chunk#124 file=chunk_124_4096.wav samples=4096 rms=0.021937
2025-09-20 02:57:32.505 | INFO     | key | session=d021721b save_chunk#125 file=chunk_125_4096.wav samples=4096 rms=0.017942
2025-09-20 02:57:32.791 | INFO     | key | session=d021721b save_chunk#126 file=chunk_126_4096.wav samples=4096 rms=0.010413
2025-09-20 02:57:33.039 | INFO     | key | session=d021721b save_chunk#127 file=chunk_127_4096.wav samples=4096 rms=0.011455
2025-09-20 02:57:33.306 | INFO     | key | session=d021721b save_chunk#128 file=chunk_128_4096.wav samples=4096 rms=0.016546
2025-09-20 02:57:33.561 | INFO     | key | session=d021721b save_chunk#129 file=chunk_129_4096.wav samples=4096 rms=0.015246
2025-09-20 02:57:33.860 | INFO     | key | session=d021721b save_chunk#130 file=chunk_130_4096.wav samples=4096 rms=0.016637
2025-09-20 02:57:34.080 | INFO     | key | session=d021721b save_chunk#131 file=chunk_131_4096.wav samples=4096 rms=0.018384
2025-09-20 02:57:34.330 | INFO     | key | session=d021721b save_chunk#132 file=chunk_132_4096.wav samples=4096 rms=0.013994
